date,symbol,marketcapname,sector
06-01-2025 11:32 am,BERGEPAINT,Largecap,Industrials
06-01-2025 11:32 am,DELHIVERY,Largecap,Services
06-01-2025 11:32 am,DMART,Largecap,FMCG
06-01-2025 11:32 am,MARICO,Largecap,FMCG
06-01-2025 11:32 am,MAXHEALTH,Largecap,Pharmaceuticals
06-01-2025 11:32 am,BIOCON,Largecap,Pharmaceuticals
06-01-2025 11:32 am,M&MFIN,Largecap,Finance
06-01-2025 11:32 am,TECHM,Largecap,I.T
06-01-2025 11:32 am,INDIANB,Largecap,Bank
06-01-2025 11:32 am,DLF,Largecap,Realty
06-01-2025 11:32 am,SYNGENE,Largecap,Pharmaceuticals
06-01-2025 11:32 am,GUJGASLTD,Largecap,Industrials
06-01-2025 11:32 am,ALKEM,Largecap,Pharmaceuticals
06-01-2025 11:32 am,CROMPTON,Largecap,FMCG
06-01-2025 11:32 am,VBL,Largecap,FMCG
06-01-2025 11:33 am,CESC,Largecap,Miscellaneous
06-01-2025 11:33 am,TITAN,Largecap,Miscellaneous
06-01-2025 11:33 am,HUDCO,Largecap,Finance
06-01-2025 11:33 am,MAXHEALTH,Largecap,Pharmaceuticals
06-01-2025 11:33 am,ICICIBANK,Largecap,Bank
06-01-2025 11:33 am,GRANULES,Midcap,Pharmaceuticals
06-01-2025 11:33 am,GMRAIRPORT,Largecap,Miscellaneous
06-01-2025 11:33 am,GUJGASLTD,Largecap,Industrials
06-01-2025 11:35 am,DABUR,Largecap,FMCG
06-01-2025 11:35 am,TATASTEEL,Largecap,Metals
06-01-2025 11:36 am,MFSL,Largecap,Finance
06-01-2025 11:36 am,GODREJCP,Largecap,FMCG
06-01-2025 11:37 am,FEDERALBNK,Largecap,Bank
06-01-2025 11:39 am,AXISBANK,Largecap,Bank
06-01-2025 11:39 am,DLF,Largecap,Realty
06-01-2025 11:41 am,NYKAA,Largecap,I.T
06-01-2025 11:41 am,VBL,Largecap,FMCG
06-01-2025 12:01 pm,DEEPAKNTR,Largecap,Industrials
06-01-2025 12:01 pm,SYNGENE,Largecap,Pharmaceuticals
06-01-2025 12:02 pm,LAURUSLABS,Largecap,Pharmaceuticals
06-01-2025 12:02 pm,DEEPAKNTR,Largecap,Industrials
06-01-2025 12:02 pm,METROPOLIS,Midcap,Pharmaceuticals
06-01-2025 12:02 pm,GLENMARK,Largecap,Pharmaceuticals
06-01-2025 12:04 pm,DRREDDY,Largecap,Pharmaceuticals
06-01-2025 12:04 pm,JUBLFOOD,Largecap,Quick Service Restaurant
06-01-2025 12:05 pm,LUPIN,Largecap,Pharmaceuticals
06-01-2025 12:05 pm,AMBUJACEM,Largecap,Industrials
06-01-2025 12:05 pm,COLPAL,Largecap,FMCG
06-01-2025 12:05 pm,INDHOTEL,Largecap,Services
06-01-2025 12:05 pm,EICHERMOT,Largecap,Auto
06-01-2025 12:05 pm,POONAWALLA,Largecap,Finance
06-01-2025 12:05 pm,BSOFT,Midcap,I.T
06-01-2025 12:05 pm,PETRONET,Largecap,Industrials
06-01-2025 12:06 pm,JINDALSTEL,Largecap,Metals
06-01-2025 12:06 pm,JSL,Largecap,Metals
06-01-2025 12:06 pm,PVRINOX,Midcap,Media
06-01-2025 12:07 pm,BAJFINANCE,Largecap,Finance
